"Tree Level 1","Country-Code","Country","Direction","Classification","Digit","Industry/Product","Unit","Footnotes","Sources",_2000,_2001,_2002,_2003,_2004,_2005,_2006,_2007,_2008,_2009,_2010,_2011,_2012,_2013,_2014,_2015,_2016,_2017,_2018,_2019,_2020,_2021
"FDI by activities","KZ","Kazakhstan","FDI inflow","NACE Rev. 2","NACE 1-letter","Total by activities","EUR m","Equity + reinvestment of earnings + debt instruments - valid for all activities. From 2013 based on BPM6, directional principle. In 2011-2012 unrevised data.","National Bank of Kazakhstan",.,.,.,.,.,.,.,.,.,.,8698.3098957,9987.05675,10908.7085908,7769.4773673,6388.9749078,3659.3686482,7694.2093279,4172.4325335,3303.9796855,2933.4675647,3226.2177346,2851.1087416
"FDI by activities","KZ","Kazakhstan","FDI inflow","NACE Rev. 2","NACE 1-letter","Total by activities","in % of total","Equity + reinvestment of earnings + debt instruments - valid for all activities. From 2013 based on BPM6, directional principle. In 2011-2012 unrevised data.","National Bank of Kazakhstan, wiiw",.,.,.,.,.,.,.,.,.,.,100,100,100,100,100,100,100,100,100,100,100,100
"FDI by activities","KZ","Kazakhstan","FDI inflow","NACE Rev. 2","NACE 1-letter","A  Agriculture, forestry and fishing","EUR m","-","National Bank of Kazakhstan",.,.,.,.,.,.,.,.,.,.,4.4859404,3.6534678,14.1060565,0.1887755,-1.7623912,64.4869411,45.3346231,20.7911828,10.8318586,13.8002852,8.0838747,3.0334811
"FDI by activities","KZ","Kazakhstan","FDI inflow","NACE Rev. 2","NACE 1-letter","A  Agriculture, forestry and fishing","in % of total","-","National Bank of Kazakhstan, wiiw",.,.,.,.,.,.,.,.,.,.,0.0515726,0.036582,0.12931,0.0024297,-0.0275849,1.7622423,0.5892044,0.4982988,0.3278428,0.4704427,0.2505682,0.1063965
"FDI by activities","KZ","Kazakhstan","FDI inflow","NACE Rev. 2","NACE 1-letter","B  Mining and quarrying","EUR m","-","National Bank of Kazakhstan",.,.,.,.,.,.,.,.,.,.,370.1318741,244.2256329,203.5995938,1398.6382864,2272.1794,-681.073698,1945.7891417,3953.1041407,4375.2465345,1905.1316163,2054.1359401,-486.4177487
"FDI by activities","KZ","Kazakhstan","FDI inflow","NACE Rev. 2","NACE 1-letter","B  Mining and quarrying","in % of total","-","National Bank of Kazakhstan, wiiw",.,.,.,.,.,.,.,.,.,.,4.255216,2.4454215,1.866395,18.0017036,35.5640683,-18.6117815,25.2890071,94.7433927,132.4235301,64.9446968,63.6700964,-17.0606523
"FDI by activities","KZ","Kazakhstan","FDI inflow","NACE Rev. 2","NACE 1-letter","C  Manufacturing","EUR m","-","National Bank of Kazakhstan",.,.,.,.,.,.,.,.,.,.,1051.7771761,1363.7951499,901.9723092,165.4949167,325.8577375,-1507.5556117,147.7751655,303.1838059,-111.9093526,772.8054503,446.6183187,1617.1540433
"FDI by activities","KZ","Kazakhstan","FDI inflow","NACE Rev. 2","NACE 1-letter","C  Manufacturing","in % of total","-","National Bank of Kazakhstan, wiiw",.,.,.,.,.,.,.,.,.,.,12.0917418,13.6556263,8.2683693,2.130065,5.1003133,-41.1971506,1.9206024,7.2663561,-3.3871078,26.3444348,13.8434029,56.7201812
"FDI by activities","KZ","Kazakhstan","FDI inflow","NACE Rev. 2","NACE 1-letter","D  Electricity, gas, steam, air conditioning supply","EUR m","-","National Bank of Kazakhstan",.,.,.,.,.,.,.,.,.,.,-164.4081704,95.2379904,195.9265277,256.0272396,-926.3430774,-44.9084707,1.4322229,-220.1994403,330.8262974,-34.9397666,68.0137526,127.2379331
"FDI by activities","KZ","Kazakhstan","FDI inflow","NACE Rev. 2","NACE 1-letter","D  Electricity, gas, steam, air conditioning supply","in % of total","-","National Bank of Kazakhstan, wiiw",.,.,.,.,.,.,.,.,.,.,-1.8901163,0.9536142,1.7960561,3.2952955,-14.4990877,-1.2272191,0.0186143,-5.2774835,10.012964,-1.1910739,2.1081575,4.4627527
