"Tree Level 1","Country-Code","Country","Direction","Partner-Code","Partner","Unit","Footnotes","Sources",_2003,_2004,_2005,_2006,_2007,_2008,_2009,_2010,_2011,_2012,_2013,_2014,_2015,_2016,_2017,_2018,_2019,_2020,_2021
"FDI by partner","KZ","Kazakhstan","FDI inflow","WORLD","Total by countries","EUR m","Equity + reinvestment of earnings + debt instruments - valid for all countries. From 2013 based on BPM6, directional principle. In 2011-2012 unrevised data.","National Bank of Kazakhstan",1853.9350543,3345.6375788,1583.4665845,5001.6685223,8123.0282227,9731.7413432,9496.6391968,8698.3083896,9987.05675,10908.7078128,7769.4773673,6388.9749078,3659.3686482,7694.2093279,4172.4325335,3303.9796855,2933.4675647,3226.2177346,2851.1087416
"FDI by partner","KZ","Kazakhstan","FDI inflow","WORLD","Total by countries","in % of total","Equity + reinvestment of earnings + debt instruments - valid for all countries. From 2013 based on BPM6, directional principle. In 2011-2012 unrevised data.","National Bank of Kazakhstan, wiiw",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"FDI by partner","KZ","Kazakhstan","FDI inflow","EU27_2020","EU - 27 countries (from 2020)","EUR m","-","National Bank of Kazakhstan",864.44727,1552.4752172,1675.0374683,2044.2720667,4393.5216036,3576.278998,5415.5139902,4606.8672137,5935.0980081,5634.1046024,2763.1442135,2810.8318373,4440.7386194,5236.4496062,596.1732081,110.328222,-880.3491167,1559.7507962,638.7668309
"FDI by partner","KZ","Kazakhstan","FDI inflow","EU27_2020","EU - 27 countries (from 2020)","in % of total","-","National Bank of Kazakhstan, wiiw",46.6276997,46.4029705,105.7829376,40.8718022,54.087238,36.7486031,57.0255843,52.9627947,59.4278991,51.6477726,35.5640937,43.9950364,121.3525896,68.0570203,14.2883846,3.3392524,-30.0105284,48.3461107,22.4041553
"FDI by partner","KZ","Kazakhstan","FDI inflow","EU28_2013","EU - 28 countries (2013-2020)","EUR m","-","National Bank of Kazakhstan",1175.2996601,1994.7975596,335.6702067,2015.4658355,3306.8197976,4107.0680931,5694.9794462,4600.1597652,6124.7299416,5584.9590145,2993.5358355,2217.8250722,2070.6614174,5525.0521634,2106.3218288,-262.2147413,-1120.3960969,.,.
"FDI by partner","KZ","Kazakhstan","FDI inflow","EU28_2013","EU - 28 countries (2013-2020)","in % of total","-","National Bank of Kazakhstan, wiiw",63.3948669,59.6238389,21.1984395,40.2958698,40.7091999,42.2028078,59.968367,52.8856826,61.3266761,51.1972555,38.5294363,34.7133164,56.5852095,71.8079263,50.4818667,-7.9363303,-38.1935737,.,.
"FDI by partner","KZ","Kazakhstan","FDI inflow","EU15_1995","EU - 15 countries (1995-2004)","EUR m","-","National Bank of Kazakhstan",1134.8557236,1978.46777,284.9754666,1920.0470866,3183.550935,3915.9634162,5502.8335886,4356.9430283,5993.7179929,5268.6906784,2713.2309092,2222.3706732,2124.9951902,5474.7804977,1914.4215465,-299.2278779,-1191.418905,.,.
"FDI by partner","KZ","Kazakhstan","FDI inflow","EU15_1995","EU - 15 countries (1995-2004)","in % of total","-","National Bank of Kazakhstan, wiiw",61.2133484,59.1357469,17.9969359,38.3881314,39.1916764,40.2390824,57.9450632,50.0895442,60.0148587,48.2980273,34.9216657,34.7844639,58.069995,71.1545562,45.8826244,-9.0565895,-40.614695,.,.
"FDI by partner","KZ","Kazakhstan","FDI inflow","AU","Australia","EUR m","-","National Bank of Kazakhstan",.,-0.2124619,-1.0804232,0.0215103,-0.3440897,0.7277525,0.4216744,0.028616,0.4582997,-0.3928722,1.3873798,0.4839108,-2.6593167,1.312142,0.9187337,0.8807202,10.1174051,-2.7118895,0.3686375
"FDI by partner","KZ","Kazakhstan","FDI inflow","AU","Australia","in % of total","-","National Bank of Kazakhstan, wiiw",.,-0.0063504,-0.0682315,0.0004301,-0.004236,0.0074781,0.0044402,0.000329,0.0045889,-0.0036015,0.0178568,0.0075742,-0.0726715,0.0170536,0.0220191,0.0266563,0.3448958,-0.0840579,0.0129296
"FDI by partner","KZ","Kazakhstan","FDI inflow","AT","Austria","EUR m","-","National Bank of Kazakhstan",1.3221954,12.1320575,45.3978552,56.6954878,1707.430158,87.3330163,105.2974159,-122.2966594,28.0970784,47.8907309,-317.429193,8.4071041,-113.961823,53.9342769,72.0143842,-19.1223944,4.2668707,-8.1803412,-19.8091944
"FDI by partner","KZ","Kazakhstan","FDI inflow","AT","Austria","in % of total","-","National Bank of Kazakhstan, wiiw",0.0713183,0.3626232,2.8669917,1.1335315,21.0196261,0.8974038,1.1087861,-1.4059821,0.2813349,0.4390138,-4.0855926,0.1315877,-3.1142482,0.7009723,1.7259568,-0.5787685,0.1454548,-0.2535582,-0.6947892
"FDI by partner","KZ","Kazakhstan","FDI inflow","AZ","Azerbaijan","EUR m","-","National Bank of Kazakhstan",0.0124067,0.094964,-0.108444,0.3178739,0.796301,2.3864302,1.3740276,2.6597854,12.0034305,23.358391,22.5172575,8.4808572,14.4449247,12.7256084,39.6763738,-0.706102,4.767069,-10.7660963,-7.871595
"FDI by partner","KZ","Kazakhstan","FDI inflow","AZ","Azerbaijan","in % of total","-","National Bank of Kazakhstan, wiiw",0.0006692,0.0028384,-0.0068485,0.0063554,0.009803,0.0245221,0.0144686,0.0305782,0.1201899,0.2141261,0.2898169,0.1327421,0.3947382,0.165392,0.9509171,-0.0213713,0.1625063,-0.3337064,-0.2760889
"FDI by partner","KZ","Kazakhstan","FDI inflow","BS","Bahamas","EUR m","-","National Bank of Kazakhstan",0.4005579,-1.2128034,16.0392635,1.5606894,10.2247976,-0.0822204,-21.184121,-6.7082016,17.5856363,-28.0720794,-36.5830155,-78.0278001,-55.9944926,-10.2947118,4.8954876,-7.5602924,5.2806656,-6.0754734,-0.0541119
"FDI by partner","KZ","Kazakhstan","FDI inflow","BS","Bahamas","in % of total","-","National Bank of Kazakhstan, wiiw",0.0216058,-0.0362503,1.0129209,0.0312034,0.1258742,-0.0008449,-0.2230697,-0.0771208,0.1760843,-0.2573364,-0.4708556,-1.2212883,-1.5301681,-0.1337982,0.1173293,-0.2288238,0.1800145,-0.1883157,-0.0018979
"FDI by partner","KZ","Kazakhstan","FDI inflow","BH","Bahrain","EUR m","-","National Bank of Kazakhstan",.,.,.,0.1386217,0.2710346,5.965396,-1.5124344,6.0643407,-0.4475247,-1.0759252,-13.8150812,-0.4869212,-1.4785007,0.8187332,0.9452867,0.4365456,2.8681017,0.4344629,0.2764781
"FDI by partner","KZ","Kazakhstan","FDI inflow","BH","Bahrain","in % of total","-","National Bank of Kazakhstan, wiiw",.,.,.,0.0027715,0.0033366,0.0612983,-0.015926,0.0697186,-0.004481,-0.009863,-0.1778122,-0.0076213,-0.0404032,0.0106409,0.0226555,0.0132127,0.0977717,0.0134666,0.0096972
"FDI by partner","KZ","Kazakhstan","FDI inflow","BB","Barbados","EUR m","-","National Bank of Kazakhstan",0.5388035,2.2847702,16.4714327,16.1223437,14.4619958,8.1228321,44.3410759,-9.2362025,79.1091439,-18.0799003,1.2819902,-96.9048382,-4.2469684,.,.,.,.,.,.
"FDI by partner","KZ","Kazakhstan","FDI inflow","BB","Barbados","in % of total","-","National Bank of Kazakhstan, wiiw",0.0290627,0.068291,1.0402135,0.3223393,0.178037,0.0834674,0.4669133,-0.1061839,0.7921167,-0.1657382,0.0165003,-1.516751,-0.1160574,.,.,.,.,.,.
"FDI by partner","KZ","Kazakhstan","FDI inflow","BY","Belarus","EUR m","-","National Bank of Kazakhstan",-0.3145974,0.0426533,-0.0184756,-0.1202982,1.2024876,-0.5619527,3.2027178,-0.6943154,5.3796344,-0.8728764,11.4784415,2.6686591,-7.8191849,5.9516302,0.5248642,-2.2878382,29.252672,-16.0322074,-14.8858541
"FDI by partner","KZ","Kazakhstan","FDI inflow","BY","Belarus","in % of total","-","National Bank of Kazakhstan, wiiw",-0.0169692,0.0012749,-0.0011668,-0.0024052,0.0148034,-0.0057744,0.0337247,-0.0079822,0.0538661,-0.0080016,0.1477376,0.0417698,-0.2136758,0.0773521,0.0125793,-0.0692449,0.9972045,-0.4969351,-0.5221076
"FDI by partner","KZ","Kazakhstan","FDI inflow","BE","Belgium","EUR m","-","National Bank of Kazakhstan",-0.1107737,5.7042802,-4.9466512,0.7966766,3.6527571,30.8197402,-9.6253646,126.7788345,15.2194304,108.5517528,121.061123,2.5429778,6.9721366,22.3579235,92.582336,49.9153914,38.0222212,168.7949768,117.9318815
"FDI by partner","KZ","Kazakhstan","FDI inflow","BE","Belgium","in % of total","-","National Bank of Kazakhstan, wiiw",-0.0059751,0.170499,-0.3123938,0.0159282,0.0449679,0.316693,-0.1013555,1.4575114,0.1523915,0.9950927,1.558163,0.0398026,0.1905284,0.2905812,2.2189055,1.5107657,1.2961528,5.2319772,4.1363516
"FDI by partner","KZ","Kazakhstan","FDI inflow","BZ","Belize","EUR m","-","National Bank of Kazakhstan",4.6276839,6.01573,20.5850736,-3.3293114,10.2116477,-20.7487602,.,18.0288565,-5.0441705,2.1969724,0.5239373,-0.009031,-3.5262106,-1.6799394,-3.1217474,-1.5486774,-0.9914646,2.9641583,-0.9976887
